cycle_start_iso,torque_amp_nm,torque_rms_nm
2025-10-02T06:35:41.683574,3.488440,2.701113
2025-10-02T06:35:42.285984,3.502696,2.721191
2025-10-02T06:35:42.888394,3.520724,2.731959
2025-10-02T06:35:43.490804,3.504096,2.734981
2025-10-02T06:35:44.093214,3.513314,2.744394
2025-10-02T06:35:44.695624,3.525084,2.746676
2025-10-02T06:35:45.298034,3.530529,2.748798
2025-10-02T06:35:45.900444,3.531704,2.745277
2025-10-02T06:35:46.502854,3.518307,2.737680
2025-10-02T06:35:47.105264,3.544966,2.740463
2025-10-02T06:35:47.707674,3.554364,2.740035
2025-10-02T06:35:48.310084,3.559763,2.751491
2025-10-02T06:35:48.912494,3.571805,2.806861
2025-10-02T06:35:49.514904,3.551472,2.718151
2025-10-02T06:35:50.117314,3.581859,2.829134
2025-10-02T06:35:50.719724,3.584638,2.778931
2025-10-02T06:35:51.322134,3.571218,2.775745
2025-10-02T06:35:51.924544,3.603050,2.774716
2025-10-02T06:35:52.526954,3.593223,2.762300
2025-10-02T06:35:53.129364,3.577385,2.738106
2025-10-02T06:35:53.731774,3.596453,2.737020
2025-10-02T06:35:54.334184,3.610483,2.717512
2025-10-02T06:35:54.936594,3.602756,2.697046
2025-10-02T06:35:55.539004,3.599142,2.675951
2025-10-02T06:35:56.141414,3.606371,2.655086
2025-10-02T06:35:56.743824,3.620762,2.664612
2025-10-02T06:35:57.346234,3.639085,2.685389
2025-10-02T06:35:57.948644,3.621847,2.693132
2025-10-02T06:35:58.551054,3.652007,2.719827
2025-10-02T06:35:59.153464,3.662920,2.744705
2025-10-02T06:35:59.755874,3.649296,2.765133
2025-10-02T06:36:00.358284,3.661044,2.791022
2025-10-02T06:36:00.960694,3.643513,2.800790
2025-10-02T06:36:01.563104,3.655148,2.813026
2025-10-02T06:36:02.165514,3.670375,2.820383
2025-10-02T06:36:02.767924,3.702049,2.837479
2025-10-02T06:36:03.370334,3.672905,2.836473
2025-10-02T06:36:03.972744,3.672160,2.835564
2025-10-02T06:36:04.575154,3.674713,2.833638
2025-10-02T06:36:05.177564,3.695159,2.825401
2025-10-02T06:36:05.779974,3.713775,2.819204
2025-10-02T06:36:06.382384,3.660367,2.820382
2025-10-02T06:36:06.984794,3.711967,2.823240
2025-10-02T06:36:07.587204,3.748273,2.834162
2025-10-02T06:36:08.189614,3.714294,2.839877
2025-10-02T06:36:08.792024,3.722586,2.852415
2025-10-02T06:36:09.394434,3.736909,2.863764
2025-10-02T06:36:09.996844,3.748250,2.863146
2025-10-02T06:36:10.599254,3.752927,2.863063
2025-10-02T06:36:11.201664,3.750216,2.857377
2025-10-02T06:36:11.804074,3.742783,2.850861
2025-10-02T06:36:12.406484,3.764607,2.846304
2025-10-02T06:36:13.008894,3.755570,2.839274
2025-10-02T06:36:13.611304,3.774728,2.820782
2025-10-02T06:36:14.213714,3.764697,2.799176
2025-10-02T06:36:14.816124,3.769464,2.772349
2025-10-02T06:36:15.418534,3.767002,2.755419
2025-10-02T06:36:16.020944,3.774909,2.743127
2025-10-02T06:36:16.623354,3.787064,2.734961
2025-10-02T06:36:17.225764,3.782839,2.758850
2025-10-02T06:36:17.828174,3.763387,2.774147
2025-10-02T06:36:18.430584,3.785708,2.798515
2025-10-02T06:36:19.032994,3.793977,2.819688
2025-10-02T06:36:19.635404,3.798879,2.841941
2025-10-02T06:36:20.237814,3.790453,2.864370
2025-10-02T06:36:20.840224,3.797072,2.922363
2025-10-02T06:36:21.442634,3.794971,2.897070
2025-10-02T06:36:22.045044,3.828995,2.909865
2025-10-02T06:36:22.647454,3.819416,2.907525
2025-10-02T06:36:23.249864,3.832587,2.905726
2025-10-02T06:36:23.852274,3.821472,2.897868
2025-10-02T06:36:24.454684,3.810763,2.888453
2025-10-02T06:36:25.057094,3.834711,2.886484
2025-10-02T06:36:25.659504,3.796394,2.880774
2025-10-02T06:36:26.261914,3.831073,2.894011
2025-10-02T06:36:26.864324,3.856490,2.904646
2025-10-02T06:36:27.466734,3.851497,2.916457
2025-10-02T06:36:28.069144,3.864962,2.930603
2025-10-02T06:36:28.671554,3.838687,2.928696
2025-10-02T06:36:29.273964,3.869322,2.932994
2025-10-02T06:36:29.876374,3.870158,2.932886
2025-10-02T06:36:30.478784,3.888751,2.931113
2025-10-02T06:36:31.081194,3.863312,2.926503
2025-10-02T06:36:31.683604,3.888232,2.914091
2025-10-02T06:36:32.286014,3.862296,2.901535
2025-10-02T06:36:32.888424,3.888367,2.888050
2025-10-02T06:36:33.490834,3.890784,2.866495
2025-10-02T06:36:34.093244,3.880821,2.837070
2025-10-02T06:36:34.695654,3.877658,2.822770
2025-10-02T06:36:35.298064,3.876777,2.804915
2025-10-02T06:36:35.900474,3.910214,2.810327
2025-10-02T06:36:36.502884,3.891236,2.819604
2025-10-02T06:36:37.105294,3.919205,2.841395
2025-10-02T06:36:37.707704,3.917308,2.869726
2025-10-02T06:36:38.310114,3.945051,2.897882
2025-10-02T06:36:38.912524,3.928152,2.917590
2025-10-02T06:36:39.514934,3.910688,2.931975
2025-10-02T06:36:40.117344,3.936059,2.945275
2025-10-02T06:36:40.719754,3.923340,2.955309
2025-10-02T06:36:41.322164,3.938657,2.967903
2025-10-02T06:36:41.924574,3.942475,2.969761
2025-10-02T06:36:42.526984,3.941188,2.971720
2025-10-02T06:36:43.129394,3.954291,2.977991
2025-10-02T06:36:43.731804,3.963915,2.969205
2025-10-02T06:36:44.334214,3.937889,2.966665
2025-10-02T06:36:44.936624,3.966852,2.958999
2025-10-02T06:36:45.539034,3.937370,2.950159
2025-10-02T06:36:46.141444,3.955624,2.954337
2025-10-02T06:36:46.743854,3.957115,2.962010
2025-10-02T06:36:47.346264,3.973246,2.970054
2025-10-02T06:36:47.948674,3.975437,2.979506
2025-10-02T06:36:48.551084,3.978578,2.987562
2025-10-02T06:36:49.153494,3.974760,3.001981
2025-10-02T06:36:49.755904,3.996990,3.006176
2025-10-02T06:36:50.358314,4.000018,2.998845
2025-10-02T06:36:50.960724,4.016872,2.998606
2025-10-02T06:36:51.563134,4.005304,3.010047
2025-10-02T06:36:52.165544,3.985197,2.964161
2025-10-02T06:36:52.767954,4.004559,2.942701
2025-10-02T06:36:53.370364,4.008964,2.923949
2025-10-02T06:36:53.972774,4.005146,2.883083
2025-10-02T06:36:54.575184,4.005440,2.872507
2025-10-02T06:36:55.177594,3.962153,2.866856
2025-10-02T06:36:55.780004,4.038876,2.867663
2025-10-02T06:36:56.382414,4.013528,2.892126
2025-10-02T06:36:56.984824,3.987095,2.907967
2025-10-02T06:36:57.587234,4.032099,2.935666
